League,Club,Player,Position,Date of Birth,Age,Market Value
Bundesliga,FC Augsburg,Romario Rösch,Attacking Midfield,"Jul 1, 1999",19,200000.0
Bundesliga,FC Augsburg,Marco Richter,Left Winger,"Nov 24, 1997",21,4500000.0
Bundesliga,FC Augsburg,André Hahn,Right Winger,"Aug 13, 1990",28,3500000.0
Bundesliga,FC Augsburg,Michael Gregoritsch,Second Striker,"Apr 18, 1994",24,16000000.0
Bundesliga,FC Augsburg,Alfred Finnbogason,Centre-Forward,"Feb 1, 1989",30,15000000.0
Bundesliga,FC Augsburg,Sergio Córdova,Centre-Forward,"Aug 9, 1997",21,2000000.0
Bundesliga,FC Augsburg,Julian Schieber,Centre-Forward,"Feb 13, 1989",30,1000000.0
Bundesliga,FC Augsburg,Dong-won Ji,Centre-Forward,"May 28, 1991",27,1000000.0
Bundesliga,SC Freiburg,Alexander Schwolow,Goalkeeper,"Jun 2, 1992",26,7000000.0
Bundesliga,SC Freiburg,Mark Flekken,Goalkeeper,"Jun 13, 1993",25,750000.0
Bundesliga,SC Freiburg,Constantin Frommann,Goalkeeper,"May 27, 1998",20,125000.0
Bundesliga,SC Freiburg,Robin Koch,Centre-Back,"Jul 17, 1996",22,10000000.0
Bundesliga,SC Freiburg,Dominique Heintz,Centre-Back,"Aug 15, 1993",25,7500000.0
Bundesliga,SC Freiburg,Manuel Gulde,Centre-Back,"Feb 12, 1991",28,4000000.0
Bundesliga,SC Freiburg,Philipp Lienhart,Centre-Back,"Jul 11, 1996",22,2500000.0
Bundesliga,SC Freiburg,Keven Schlotterbeck,Centre-Back,"Apr 28, 1997",21,100000.0
Bundesliga,SC Freiburg,Nico Schlotterbeck,Centre-Back,"Dec 1, 1999",19,75000.0
Bundesliga,SC Freiburg,Christian Günter,Left-Back,"Feb 28, 1993",26,9000000.0
Bundesliga,SC Freiburg,Chima Okoroji,Left-Back,"Apr 19, 1997",21,125000.0
Bundesliga,SC Freiburg,Pascal Stenzel,Right-Back,"Mar 20, 1996",23,4500000.0
Bundesliga,SC Freiburg,Lukas Kübler,Right-Back,"Aug 30, 1992",26,2500000.0
Bundesliga,SC Freiburg,Nicolas Höfler,Defensive Midfield,"Mar 9, 1990",29,4000000.0
Bundesliga,SC Freiburg,Amir Abrashi,Defensive Midfield,"Mar 27, 1990",29,1500000.0
Bundesliga,SC Freiburg,Janik Haberer,Central Midfield,"Apr 2, 1994",25,8500000.0
Bundesliga,SC Freiburg,Jérôme Gondorf,Central Midfield,"Jun 26, 1988",30,1500000.0
Bundesliga,SC Freiburg,Mike Frantz,Central Midfield,"Oct 14, 1986",32,1000000.0
Bundesliga,SC Freiburg,Vincenzo Grifo,Left Winger,"Apr 7, 1993",26,6000000.0
Bundesliga,SC Freiburg,Roland Sallai,Left Winger,"May 22, 1997",21,4500000.0
Bundesliga,SC Freiburg,Marco Terrazzino,Left Winger,"Apr 15, 1991",27,2500000.0
Bundesliga,SC Freiburg,Florian Kath,Left Winger,"Oct 21, 1994",24,500000.0
Bundesliga,SC Freiburg,Brandon Borrello,Right Winger,"Jul 25, 1995",23,800000.0
Bundesliga,SC Freiburg,Luca Waldschmidt,Centre-Forward,"May 19, 1996",22,10000000.0
Bundesliga,SC Freiburg,Nils Petersen,Centre-Forward,"Dec 6, 1988",30,10000000.0
Bundesliga,SC Freiburg,Florian Niederlechner,Centre-Forward,"Oct 24, 1990",28,4500000.0
Bundesliga,SC Freiburg,Lucas Höler,Centre-Forward,"Jul 10, 1994",24,3000000.0
Bundesliga,SC Freiburg,Tim Kleindienst,Centre-Forward,"Aug 31, 1995",23,2000000.0
Bundesliga,Fortuna Düsseldorf,Raphael Wolf,Goalkeeper,"Jun 6, 1988",30,700000.0
Bundesliga,Fortuna Düsseldorf,Michael Rensing,Goalkeeper,"May 14, 1984",34,400000.0
Bundesliga,Fortuna Düsseldorf,Jannick Theißen,Goalkeeper,"Jan 7, 1998",21,100000.0
Bundesliga,Fortuna Düsseldorf,Jaroslav Drobny,Goalkeeper,"Oct 18, 1979",39,100000.0
Bundesliga,Fortuna Düsseldorf,Tim Wiesner,Goalkeeper,"Nov 21, 1996",22,100000.0
Bundesliga,Fortuna Düsseldorf,Kaan Ayhan,Centre-Back,"Nov 10, 1994",24,6000000.0
Bundesliga,Fortuna Düsseldorf,Marcin Kaminski,Centre-Back,"Jan 15, 1992",27,2500000.0
Bundesliga,Fortuna Düsseldorf,Andre Hoffmann,Centre-Back,"Feb 28, 1993",26,1500000.0
Bundesliga,Fortuna Düsseldorf,Robin Bormuth,Centre-Back,"Sep 19, 1995",23,1500000.0
Bundesliga,Fortuna Düsseldorf,Niko Gießelmann,Left-Back,"Sep 26, 1991",27,3500000.0
Bundesliga,Fortuna Düsseldorf,Markus Suttner,Left-Back,"Apr 16, 1987",31,2000000.0
Bundesliga,Fortuna Düsseldorf,Diego Contento,Left-Back,"May 1, 1990",28,1500000.0
Bundesliga,Fortuna Düsseldorf,Georgios Siadas,Left-Back,"Dec 27, 1999",19,200000.0
Bundesliga,Fortuna Düsseldorf,Matthias Zimmermann,Right-Back,"Jun 16, 1992",26,3500000.0
Bundesliga,Fortuna Düsseldorf,Jean Zimmer,Right-Back,"Dec 6, 1993",25,2750000.0
Bundesliga,Fortuna Düsseldorf,Marcel Sobottka,Defensive Midfield,"Apr 25, 1994",24,3500000.0
Bundesliga,Fortuna Düsseldorf,Adam Bodzek,Defensive Midfield,"Sep 7, 1985",33,400000.0
Bundesliga,Fortuna Düsseldorf,Alfredo Morales,Central Midfield,"May 12, 1990",28,2000000.0
Bundesliga,Fortuna Düsseldorf,Oliver Fink,Central Midfield,"Jun 6, 1982",36,250000.0
Bundesliga,Fortuna Düsseldorf,Kevin Stöger,Attacking Midfield,"Aug 27, 1993",25,4000000.0
Bundesliga,Fortuna Düsseldorf,Aymen Barkok,Attacking Midfield,"May 21, 1998",20,1500000.0
Bundesliga,Fortuna Düsseldorf,Kianz Froese,Attacking Midfield,"Apr 16, 1996",22,150000.0
Bundesliga,Fortuna Düsseldorf,Benito Raman,Left Winger,"Nov 7, 1994",24,4500000.0
Bundesliga,Fortuna Düsseldorf,Takashi Usami,Left Winger,"May 6, 1992",26,2000000.0
Bundesliga,Fortuna Düsseldorf,Kenan Karaman,Left Winger,"Mar 5, 1994",25,1500000.0
Bundesliga,Fortuna Düsseldorf,Davor Lovren,Left Winger,"Oct 3, 1998",20,750000.0
Bundesliga,Fortuna Düsseldorf,Dodi Lukebakio,Right Winger,"Sep 24, 1997",21,10000000.0
Bundesliga,Fortuna Düsseldorf,Dawid Kownacki,Centre-Forward,"Mar 14, 1997",22,6500000.0
Bundesliga,Fortuna Düsseldorf,Marvin Ducksch,Centre-Forward,"Mar 7, 1994",25,2500000.0
Bundesliga,Fortuna Düsseldorf,Rouwen Hennings,Centre-Forward,"Aug 28, 1987",31,1500000.0
Bundesliga,Fortuna Düsseldorf,Emir Kujovic,Centre-Forward,"Jun 22, 1988",30,400000.0
Bundesliga,1.FC Nuremberg,Christian Mathenia,Goalkeeper,"Mar 31, 1992",27,1000000.0
Bundesliga,1.FC Nuremberg,Fabian Bredlow,Goalkeeper,"Mar 2, 1995",24,700000.0
Bundesliga,1.FC Nuremberg,Patric Klandt,Goalkeeper,"Sep 29, 1983",35,100000.0
Bundesliga,1.FC Nuremberg,Lukas Mühl,Centre-Back,"Jan 27, 1997",22,3500000.0
Bundesliga,1.FC Nuremberg,Georg Margreitter,Centre-Back,"Nov 7, 1988",30,2500000.0
Bundesliga,1.FC Nuremberg,Ewerton,Centre-Back,"Mar 23, 1989",30,1750000.0
Bundesliga,1.FC Nuremberg,Tim Leibold,Left-Back,"Nov 30, 1993",25,3500000.0
Bundesliga,1.FC Nuremberg,Dennis Lippert,Left-Back,"Feb 20, 1996",23,150000.0
Bundesliga,1.FC Nuremberg,Robert Bauer,Right-Back,"Apr 9, 1995",24,2000000.0
Bundesliga,1.FC Nuremberg,Enrico Valentini,Right-Back,"Feb 20, 1989",30,2000000.0
Bundesliga,1.FC Nuremberg,Kevin Goden,Right-Back,"Feb 22, 1999",20,400000.0
Bundesliga,1.FC Nuremberg,Eduard Löwen,Defensive Midfield,"Jan 28, 1997",22,5500000.0
Bundesliga,1.FC Nuremberg,Ondrej Petrak,Defensive Midfield,"Mar 11, 1992",27,2000000.0
Bundesliga,1.FC Nuremberg,Patrick Erras,Defensive Midfield,"Jan 21, 1995",24,1250000.0
Bundesliga,1.FC Nuremberg,Simon Rhein,Defensive Midfield,"May 18, 1998",20,750000.0
Bundesliga,1.FC Nuremberg,Lukas Jäger,Defensive Midfield,"Feb 12, 1994",25,200000.0
Bundesliga,1.FC Nuremberg,Hanno Behrens,Central Midfield,"Mar 26, 1990",29,3500000.0
Bundesliga,1.FC Nuremberg,Alexander Fuchs,Central Midfield,"Jan 5, 1997",22,1250000.0
Bundesliga,1.FC Nuremberg,Timothy Tillman,Attacking Midfield,"Jan 4, 1999",20,300000.0
Bundesliga,1.FC Nuremberg,Virgil Misidjan,Left Winger,"Jul 24, 1993",25,6000000.0
Bundesliga,1.FC Nuremberg,Sebastian Kerk,Left Winger,"Apr 17, 1994",24,1000000.0
Bundesliga,1.FC Nuremberg,Ivo Ilicevic,Left Winger,"Nov 14, 1986",32,750000.0
Bundesliga,1.FC Nuremberg,Matheus Pereira,Right Winger,"May 5, 1996",22,2500000.0
Bundesliga,1.FC Nuremberg,Edgar Salli,Right Winger,"Aug 17, 1992",26,500000.0
Bundesliga,1.FC Nuremberg,Mikael Ishak,Centre-Forward,"Mar 31, 1993",26,4000000.0
Bundesliga,1.FC Nuremberg,Yuya Kubo,Centre-Forward,"Dec 24, 1993",25,2500000.0
Bundesliga,1.FC Nuremberg,Adam Zrelak,Centre-Forward,"May 5, 1994",24,1000000.0
Bundesliga,1.FC Nuremberg,Törles Knöll,Centre-Forward,"Sep 13, 1997",21,1000000.0
Bundesliga,1.FC Nuremberg,Federico Palacios,Centre-Forward,"Apr 9, 1995",24,1000000.0
Ligue 1,Paris Saint-Germain,Alphonse Areola,Goalkeeper,"Feb 27, 1993",26,17500000.0
Ligue 1,Paris Saint-Germain,Gianluigi Buffon,Goalkeeper,"Jan 28, 1978",41,1000000.0
Ligue 1,Paris Saint-Germain,Sébastien Cibois,Goalkeeper,"Mar 2, 1998",21,150000.0
Ligue 1,Paris Saint-Germain,Marquinhos,Centre-Back,"May 14, 1994",24,60000000.0
Ligue 1,Paris Saint-Germain,Thilo Kehrer,Centre-Back,"Sep 21, 1996",22,35000000.0
Ligue 1,Paris Saint-Germain,Presnel Kimpembe,Centre-Back,"Aug 13, 1995",23,30000000.0
Ligue 1,Paris Saint-Germain,Thiago Silva,Centre-Back,"Sep 22, 1984",34,10000000.0
Ligue 1,Paris Saint-Germain,Layvin Kurzawa,Left-Back,"Sep 4, 1992",26,17500000.0
Ligue 1,Paris Saint-Germain,Juan Bernat,Left-Back,"Mar 1, 1993",26,15000000.0
Ligue 1,Paris Saint-Germain,Stanley N'Soki,Left-Back,"Apr 9, 1999",20,8500000.0
Ligue 1,Paris Saint-Germain,Thomas Meunier,Right-Back,"Sep 12, 1991",27,35000000.0
Ligue 1,Paris Saint-Germain,Colin Dagba,Right-Back,"Sep 6, 1998",20,5000000.0
Ligue 1,Paris Saint-Germain,Dani Alves,Right-Back,"May 6, 1983",35,3000000.0
Ligue 1,Paris Saint-Germain,Leandro Paredes,Defensive Midfield,"Jun 29, 1994",24,40000000.0
Ligue 1,Paris Saint-Germain,Marco Verratti,Central Midfield,"Nov 5, 1992",26,75000000.0
Ligue 1,Paris Saint-Germain,Adrien Rabiot,Central Midfield,"Apr 3, 1995",24,35000000.0
Ligue 1,Paris Saint-Germain,Christopher Nkunku,Central Midfield,"Nov 14, 1997",21,12000000.0
Ligue 1,Paris Saint-Germain,Azzeddine Toufiqui,Central Midfield,"Apr 25, 1999",19,
Ligue 1,Paris Saint-Germain,Julian Draxler,Attacking Midfield,"Sep 20, 1993",25,35000000.0
Ligue 1,Paris Saint-Germain,Neymar,Left Winger,"Feb 5, 1992",27,180000000.0
Ligue 1,Paris Saint-Germain,Moussa Diaby,Left Winger,"Jul 7, 1999",19,12000000.0
Ligue 1,Paris Saint-Germain,Ángel Di María,Right Winger,"Feb 14, 1988",31,45000000.0
Ligue 1,Paris Saint-Germain,Kylian Mbappé,Centre-Forward,"Dec 20, 1998",20,200000000.0
Ligue 1,Paris Saint-Germain,Edinson Cavani,Centre-Forward,"Feb 14, 1987",32,50000000.0
Ligue 1,Paris Saint-Germain,Eric Maxim Choupo-Moting,Centre-Forward,"Mar 23, 1989",30,6000000.0
Ligue 1,Olympique Lyon,Anthony Lopes,Goalkeeper,"Oct 1, 1990",28,25000000.0
Ligue 1,Olympique Lyon,Mathieu Gorgelin,Goalkeeper,"Aug 5, 1990",28,1000000.0
Ligue 1,Olympique Lyon,Anthony Racioppi,Goalkeeper,"Dec 31, 1998",20,150000.0
Ligue 1,Olympique Lyon,Jason Denayer,Centre-Back,"Jun 28, 1995",23,12500000.0
Ligue 1,Olympique Lyon,Marcelo,Centre-Back,"May 20, 1987",31,7000000.0
Ligue 1,Olympique Lyon,Mapou Yanga-Mbiwa,Centre-Back,"May 15, 1989",29,2000000.0
Ligue 1,Olympique Lyon,Oumar Solet,Centre-Back,"Feb 7, 2000",19,1000000.0
Ligue 1,Olympique Lyon,Jérémy Morel,Centre-Back,"Apr 2, 1984",35,250000.0
Ligue 1,Olympique Lyon,Ferland Mendy,Left-Back,"Jun 8, 1995",23,30000000.0
Ligue 1,Olympique Lyon,Marçal,Left-Back,"Feb 19, 1989",30,5000000.0
Ligue 1,Olympique Lyon,Léo Dubois,Right-Back,"Sep 14, 1994",24,10000000.0
Ligue 1,Olympique Lyon,Rafael,Right-Back,"Jul 9, 1990",28,9000000.0
Ligue 1,Olympique Lyon,Kenny Tete,Right-Back,"Oct 9, 1995",23,8000000.0
Ligue 1,Olympique Lyon,Lucas Tousart,Defensive Midfield,"Apr 29, 1997",21,20000000.0
Ligue 1,Olympique Lyon,Tanguy Ndombélé,Central Midfield,"Dec 28, 1996",22,50000000.0
Ligue 1,Olympique Lyon,Houssem Aouar,Central Midfield,"Jun 30, 1998",20,40000000.0
Ligue 1,Olympique Lyon,Pape Cheikh,Central Midfield,"Aug 8, 1997",21,7000000.0
Ligue 1,Olympique Lyon,Olivier Kemen,Central Midfield,"Jul 20, 1996",22,1500000.0
Ligue 1,Olympique Lyon,Maxence Caqueret,Central Midfield,"Feb 15, 2000",19,500000.0
Ligue 1,Olympique Lyon,Nabil Fekir,Attacking Midfield,"Jul 18, 1993",25,70000000.0
Ligue 1,Olympique Lyon,Martin Terrier,Left Winger,"Mar 4, 1997",22,9000000.0
Ligue 1,Olympique Lyon,Bertrand Traoré,Right Winger,"Sep 6, 1995",23,18000000.0
Ligue 1,Olympique Lyon,Maxwel Cornet,Right Winger,"Sep 27, 1996",22,12000000.0
Ligue 1,Olympique Lyon,Memphis Depay,Centre-Forward,"Feb 13, 1994",25,50000000.0
Ligue 1,Olympique Lyon,Moussa Dembélé,Centre-Forward,"Jul 12, 1996",22,22000000.0
Ligue 1,Olympique Lyon,Lenny Pintor,Centre-Forward,"Aug 5, 2000",18,5000000.0
Ligue 1,Olympique Lyon,Amine Gouiri,Centre-Forward,"Feb 16, 2000",19,4500000.0
Ligue 1,AS Monaco,Danijel Subasic,Goalkeeper,"Oct 27, 1984",34,3000000.0
Ligue 1,AS Monaco,Diego Benaglio,Goalkeeper,"Sep 8, 1983",35,1000000.0
Ligue 1,AS Monaco,Seydou Sy,Goalkeeper,"Dec 12, 1995",23,750000.0
Ligue 1,AS Monaco,Jemerson,Centre-Back,"Aug 24, 1992",26,10000000.0
Ligue 1,AS Monaco,Kamil Glik,Centre-Back,"Feb 3, 1988",31,10000000.0
Ligue 1,AS Monaco,Benoît Badiashile,Centre-Back,"Mar 26, 2001",18,9000000.0
Ligue 1,AS Monaco,Naldo,Centre-Back,"Sep 10, 1982",36,1000000.0
Ligue 1,AS Monaco,Andrea Raggi,Centre-Back,"Jun 24, 1984",34,250000.0
Ligue 1,AS Monaco,Fodé Ballo-Touré,Left-Back,"Jan 3, 1997",22,12000000.0
Ligue 1,AS Monaco,Julien Serrano,Left-Back,"Feb 13, 1998",21,2000000.0
Ligue 1,AS Monaco,Benjamin Henrichs,Right-Back,"Feb 23, 1997",22,20000000.0
Ligue 1,AS Monaco,Djibril Sidibé,Right-Back,"Jul 29, 1992",26,16000000.0
Ligue 1,AS Monaco,Ronaël Pierre-Gabriel,Right-Back,"Jun 13, 1998",20,6000000.0
Ligue 1,AS Monaco,Giulian Biancone,Right-Back,"Mar 31, 2000",19,500000.0
Ligue 1,AS Monaco,Jean-Eudes Aholou,Defensive Midfield,"Mar 20, 1994",25,7000000.0
Ligue 1,AS Monaco,Kévin N'Doram,Defensive Midfield,"Jan 22, 1996",23,5000000.0
Ligue 1,AS Monaco,William Vainqueur,Defensive Midfield,"Nov 19, 1988",30,1250000.0
Ligue 1,AS Monaco,Khéphren Thuram-Ulien,Defensive Midfield,"Mar 26, 2001",18,500000.0
Ligue 1,AS Monaco,Cesc Fàbregas,Central Midfield,"May 4, 1987",31,20000000.0
Ligue 1,AS Monaco,Adrien Silva,Central Midfield,"Mar 15, 1989",30,15000000.0
Ligue 1,AS Monaco,Romain Faivre,Central Midfield,"Jul 14, 1998",20,300000.0
Ligue 1,AS Monaco,Aleksandr Golovin,Attacking Midfield,"May 30, 1996",22,30000000.0
Ligue 1,AS Monaco,Sofiane Diop,Attacking Midfield,"Jun 9, 2000",18,5000000.0
Ligue 1,AS Monaco,Willem Geubbels,Left Winger,"Aug 16, 2001",17,12000000.0
Ligue 1,AS Monaco,Nacer Chadli,Left Winger,"Aug 2, 1989",29,10000000.0
Ligue 1,AS Monaco,Georges-Kevin N'Koudou,Left Winger,"Feb 13, 1995",24,7000000.0
Ligue 1,AS Monaco,Rony Lopes,Right Winger,"Dec 28, 1995",23,28000000.0
Ligue 1,AS Monaco,Gelson Martins,Right Winger,"May 11, 1995",23,28000000.0
Ligue 1,AS Monaco,Jordi Mboula,Right Winger,"Mar 16, 1999",20,3000000.0
Ligue 1,AS Monaco,Falcao,Centre-Forward,"Feb 10, 1986",33,12000000.0
Ligue 1,AS Monaco,Stevan Jovetic,Centre-Forward,"Nov 2, 1989",29,12000000.0
Ligue 1,AS Monaco,Pietro Pellegri,Centre-Forward,"Mar 17, 2001",18,8000000.0
Ligue 1,AS Monaco,Carlos Vinícius,Centre-Forward,"Mar 22, 1995",24,5000000.0
Ligue 1,AS Monaco,Moussa Sylla,Centre-Forward,"Nov 25, 1999",19,5000000.0
Ligue 1,Olympique Marseille,Steve Mandanda,Goalkeeper,"Mar 28, 1985",34,2500000.0
Ligue 1,Olympique Marseille,Yohann Pelé,Goalkeeper,"Nov 4, 1982",36,500000.0
Ligue 1,Olympique Marseille,Romain Cagnon,Goalkeeper,"May 12, 1997",21,150000.0
Ligue 1,Olympique Marseille,Florian Escales,Goalkeeper,"Feb 3, 1996",23,150000.0
Ligue 1,Olympique Marseille,Boubacar Kamara,Centre-Back,"Nov 23, 1999",19,15000000.0
Ligue 1,Olympique Marseille,Duje Caleta-Car,Centre-Back,"Sep 17, 1996",22,15000000.0
Ligue 1,Olympique Marseille,Adil Rami,Centre-Back,"Dec 27, 1985",33,5000000.0
Ligue 1,Olympique Marseille,Aymen Abdennour,Centre-Back,"Aug 6, 1989",29,2000000.0
Ligue 1,Olympique Marseille,Rolando,Centre-Back,"Aug 31, 1985",33,750000.0
Ligue 1,Olympique Marseille,Tomas Hubocan,Centre-Back,"Sep 17, 1985",33,500000.0
Ligue 1,Olympique Marseille,Lucas Perrin,Centre-Back,"Nov 19, 1998",20,300000.0
Ligue 1,Olympique Marseille,Jordan Amavi,Left-Back,"Mar 9, 1994",25,12000000.0
Ligue 1,Olympique Marseille,Hiroki Sakai,Right-Back,"Apr 12, 1990",29,8000000.0
Ligue 1,Olympique Marseille,Bouna Sarr,Right-Back,"Jan 31, 1992",27,8000000.0
Ligue 1,Olympique Marseille,Luiz Gustavo,Defensive Midfield,"Jul 23, 1987",31,12000000.0
Ligue 1,Olympique Marseille,Morgan Sanson,Central Midfield,"Aug 18, 1994",24,25000000.0
Ligue 1,Olympique Marseille,Kevin Strootman,Central Midfield,"Feb 13, 1990",29,20000000.0
Ligue 1,Olympique Marseille,Maxime López,Central Midfield,"Dec 4, 1997",21,15000000.0
Ligue 1,Olympique Marseille,Sacha Marasovic,Central Midfield,"Jan 6, 1998",21,150000.0
Ligue 1,Olympique Marseille,Dimitri Payet,Attacking Midfield,"Mar 29, 1987",32,20000000.0
Ligue 1,Olympique Marseille,Florian Chabrolle,Attacking Midfield,"Apr 7, 1998",21,150000.0
Ligue 1,Olympique Marseille,Lucas Ocampos,Left Winger,"Jul 11, 1994",24,14000000.0
Ligue 1,Olympique Marseille,Nemanja Radonjic,Left Winger,"Feb 15, 1996",23,7000000.0
Ligue 1,Olympique Marseille,Florian Thauvin,Right Winger,"Jan 26, 1993",26,50000000.0
Ligue 1,Olympique Marseille,Yusuf Sari,Right Winger,"Nov 20, 1998",20,400000.0
Ligue 1,Olympique Marseille,Mario Balotelli,Centre-Forward,"Aug 12, 1990",28,20000000.0
Ligue 1,Olympique Marseille,Valère Germain,Centre-Forward,"Apr 17, 1990",28,8000000.0
Ligue 1,Olympique Marseille,Clinton N'Jie,Centre-Forward,"Aug 15, 1993",25,5000000.0
Ligue 1,LOSC Lille,Mike Maignan,Goalkeeper,"Jul 3, 1995",23,12000000.0
Ligue 1,LOSC Lille,Hervé Koffi,Goalkeeper,"Oct 16, 1996",22,500000.0
Ligue 1,LOSC Lille,Adam Jakubech,Goalkeeper,"Jan 2, 1997",22,450000.0
Ligue 1,LOSC Lille,Adama Soumaoro,Centre-Back,"Jun 18, 1992",26,10000000.0
Ligue 1,LOSC Lille,Kouadio-Yves Dabila,Centre-Back,"Jan 1, 1997",22,3000000.0
Ligue 1,LOSC Lille,José Fonte,Centre-Back,"Dec 22, 1983",35,2000000.0
Ligue 1,LOSC Lille,Gabriel Magalhães,Centre-Back,"Dec 19, 1997",21,1500000.0
Ligue 1,LOSC Lille,Youssouf Koné,Left-Back,"Jul 5, 1995",23,2000000.0
Ligue 1,LOSC Lille,Reinildo Mandava,Left-Back,"Jan 21, 1994",25,600000.0
Ligue 1,LOSC Lille,Zeki Celik,Right-Back,"Feb 17, 1997",22,10000000.0
Ligue 1,LOSC Lille,Jérémy Pied,Right-Back,"Feb 23, 1989",30,2500000.0
Ligue 1,LOSC Lille,Thiago Mendes,Defensive Midfield,"Mar 15, 1992",27,22000000.0
Ligue 1,LOSC Lille,Xeka,Defensive Midfield,"Nov 10, 1994",24,9000000.0
Ligue 1,LOSC Lille,Boubakary Soumaré,Defensive Midfield,"Feb 27, 1999",20,5000000.0
Ligue 1,LOSC Lille,Thiago Maia,Defensive Midfield,"Mar 23, 1997",22,4000000.0
Ligue 1,LOSC Lille,Arton Zekaj,Defensive Midfield,"Apr 16, 2000",18,200000.0
Ligue 1,LOSC Lille,Jonathan Ikoné,Attacking Midfield,"May 2, 1998",20,9000000.0
Ligue 1,LOSC Lille,Jonathan Bamba,Left Winger,"Mar 26, 1996",23,15000000.0
Ligue 1,LOSC Lille,Luiz Araújo,Left Winger,"Jun 2, 1996",22,7000000.0
Ligue 1,LOSC Lille,Nicolas Pépé,Right Winger,"May 29, 1995",23,40000000.0
Ligue 1,LOSC Lille,Abou Ouattara,Right Winger,"Dec 26, 1999",19,100000.0
Ligue 1,LOSC Lille,Rafael Leão,Centre-Forward,"Jun 10, 1999",19,12000000.0
Ligue 1,LOSC Lille,Loïc Rémy,Centre-Forward,"Jan 2, 1987",32,3000000.0
Ligue 1,LOSC Lille,Rui Fonte,Centre-Forward,"Apr 23, 1990",28,3000000.0
Ligue 1,OGC Nice,Walter Benítez,Goalkeeper,"Jan 19, 1993",26,8500000.0
Ligue 1,OGC Nice,Yoan Cardinale,Goalkeeper,"Mar 27, 1994",25,2000000.0
Ligue 1,OGC Nice,Mouez Hassen,Goalkeeper,"Mar 5, 1995",24,1000000.0
Ligue 1,OGC Nice,Yannis Clementia,Goalkeeper,"Jul 5, 1997",21,500000.0
Ligue 1,OGC Nice,Malang Sarr,Centre-Back,"Jan 23, 1999",20,17000000.0
Ligue 1,OGC Nice,Christophe Hérelle,Centre-Back,"Aug 22, 1992",26,8000000.0
Ligue 1,OGC Nice,Dante,Centre-Back,"Oct 18, 1983",35,1500000.0
Ligue 1,OGC Nice,Gautier Lloris,Centre-Back,"Jul 18, 1995",23,150000.0
Ligue 1,OGC Nice,Olivier Boscagli,Left-Back,"Nov 18, 1997",21,3000000.0
Ligue 1,OGC Nice,Racine Coly,Left-Back,"Dec 8, 1995",23,2500000.0
Ligue 1,OGC Nice,Youcef Atal,Right-Back,"May 17, 1996",22,9000000.0
Ligue 1,OGC Nice,Patrick Burner,Right-Back,"Apr 11, 1996",23,2000000.0
Ligue 1,OGC Nice,Christophe Jallet,Right-Back,"Oct 31, 1983",35,500000.0
Ligue 1,OGC Nice,Adrien Tamèze,Defensive Midfield,"Feb 4, 1994",25,8000000.0
Ligue 1,OGC Nice,Danilo,Defensive Midfield,"Feb 28, 1996",23,8000000.0
Ligue 1,OGC Nice,Wylan Cyprien,Central Midfield,"Jan 28, 1995",24,14000000.0
Ligue 1,OGC Nice,Pierre Lees Melou,Central Midfield,"May 25, 1993",25,8000000.0
Ligue 1,OGC Nice,Jean-Victor Makengo,Central Midfield,"Jun 12, 1998",20,4000000.0
Ligue 1,OGC Nice,Rémi Walter,Central Midfield,"Apr 26, 1995",23,3000000.0
Ligue 1,OGC Nice,Arnaud Lusamba,Central Midfield,"Jan 4, 1997",22,2000000.0
Ligue 1,OGC Nice,Ihsan Sacko,Attacking Midfield,"Jul 19, 1997",21,2000000.0
Ligue 1,OGC Nice,Allan Saint-Maximin,Right Winger,"Mar 12, 1997",22,25000000.0
Ligue 1,OGC Nice,Bassem Srarfi,Right Winger,"Jun 25, 1997",21,3000000.0
Ligue 1,OGC Nice,Hicham Mahou,Right Winger,"Jul 2, 1999",19,150000.0
Ligue 1,OGC Nice,Myziane Maolida,Centre-Forward,"Feb 14, 1999",20,9000000.0
Ligue 1,OGC Nice,Ignatius Ganago,Centre-Forward,"Feb 16, 1999",20,2500000.0
Ligue 1,OGC Nice,Mickaël Le Bihan,Centre-Forward,"May 16, 1990",28,900000.0
Ligue 1,Stade Rennais FC,Tomas Koubek,Goalkeeper,"Aug 26, 1992",26,6000000.0
Ligue 1,Stade Rennais FC,Abdoulaye Diallo,Goalkeeper,"Mar 30, 1992",27,1000000.0
Ligue 1,Stade Rennais FC,Loïc Badiashile,Goalkeeper,"Feb 5, 1998",21,800000.0
Ligue 1,Stade Rennais FC,Edvinas Gertmonas,Goalkeeper,"Jun 1, 1996",22,300000.0
Ligue 1,Stade Rennais FC,Jérémy Gelin,Centre-Back,"Apr 24, 1997",21,8000000.0
Ligue 1,Stade Rennais FC,Damien Da Silva,Centre-Back,"May 17, 1988",30,5500000.0
Ligue 1,Stade Rennais FC,Mexer,Centre-Back,"Sep 8, 1988",30,4000000.0
Ligue 1,Stade Rennais FC,Gerzino Nyamsi,Centre-Back,"Jan 22, 1997",22,200000.0
Ligue 1,Stade Rennais FC,Ramy Bensebaini,Left-Back,"Apr 16, 1995",23,8000000.0
Ligue 1,Stade Rennais FC,Souleyman Doumbia,Left-Back,"Sep 24, 1996",22,3000000.0
Ligue 1,Stade Rennais FC,Ludovic Baal,Left-Back,"May 24, 1986",32,1000000.0
